,Title,Location,Company,Salary,Sponsored
0,Artificial Intelligence Engineer (AI Engineer),"Safdarjung Enclave, Delhi, Delhi",Timble Technologies Pvt. Ltd.,"₹30,000 - ₹40,000 a month",sponsored
1,Technical Content Curator and Writer,"Gurgaon, Haryana",Tosh Innovations Pvt. Ltd.,,sponsored
2,Systems Support Analyst 4,"Bengaluru, Karnataka",Wells Fargo,,sponsored
3,Software Developer,"Lucknow, Uttar Pradesh",ARDEM Data Services Private Limited,"₹1,50,000 - ₹4,00,000 a year",sponsored
4,Incident Manager,"Bengaluru, Karnataka",Nuance,,
5,Director - Data Scientist,"Bengaluru, Karnataka",Zycus,,
6,Data Science Coordinator,Andhra Pradesh,THE VERTICALS,"₹1,00,002 - ₹1,80,000 a year",
7,Student Communications Manager,"New Delhi, Delhi",Udacity,,
8,Sr. Staff Engineer,"Gurgaon, Haryana",Stryker,,
9,Artificial Intelligence Programmer - Prophoenix Technologies...,"Chennai, Tamil Nadu",Careerera,"₹2,00,000 - ₹6,00,000 a year",
10,Content Quality Analyst_Mathematics(Hindi),"Bengaluru, Karnataka",Embibe,,
11,Service Delivery Integration Expert,"Hyderabad, Telangana",Novartis,,
12,It Delliver & Transformation Specialist,"Pune, Maharashtra",Vodafone,,
13,IT Cloud Administration part time job/internship at Multiple...,"Delhi, Delhi",GVB Geomatics Private Limited,"₹8,000 a month",
